,configuration,time_taken
36,meta-llama/Llama-3.2-1B 4 100 16.0,"['[3.742539405822754, 3.772326946258545]', '[3.861447334289551, 3.9573373794555664]', '[3.7323381900787354, 3.809741258621216]']"
37,meta-llama/Llama-3.2-1B 4 100 4.0,"['[6.421542167663574, 6.397482633590698]', '[6.5581748485565186, 6.542722463607788]', '[6.19103741645813, 6.287422180175781]']"
38,meta-llama/Llama-3.2-1B 4 100 8.0,"['[10.566667795181274, 10.700841188430786]', '[10.502026796340942, 10.74686884880066]', '[10.00467562675476, 10.111104965209961]']"
39,meta-llama/Llama-3.2-1B 4 250 16.0,"['[9.578285217285156, 9.616883993148804]', '[9.992346048355103, 9.828716278076172]', '[9.267170429229736, 9.34662652015686]']"
40,meta-llama/Llama-3.2-1B 4 250 4.0,"['[15.950178623199463, 16.055048942565918]', '[16.571608781814575, 16.501768350601196]', '[15.571484565734863, 15.48892879486084]']"
41,meta-llama/Llama-3.2-1B 4 250 8.0,"['[26.665968656539917, 26.253541946411133]', '[25.906064987182617, 27.12515425682068]', '[25.608739852905273, 25.70256996154785]']"
42,meta-llama/Llama-3.2-1B 4 500 16.0,"['[19.570677757263184, 19.40299916267395]', '[19.847530364990234, 19.887308835983276]', '[4.060260057449341, 18.827341556549072]']"
43,meta-llama/Llama-3.2-1B 4 500 4.0,"['[32.14924645423889, 31.912660360336304]', '[25.47527289390564, 33.1514151096344]', '[30.922635793685913, 31.031031131744385]']"
44,meta-llama/Llama-3.2-1B 4 500 8.0,"['[54.590248823165894, 54.006004095077515]', '[54.43847107887268, 53.26708960533142]', '[50.63783597946167, 50.508774518966675]']"
45,meta-llama/Llama-3.2-1B 8 100 16.0,"['[3.8393330574035645]', '[4.111199617385864]', '[4.161337375640869]']"
46,meta-llama/Llama-3.2-1B 8 100 4.0,"['[6.390283107757568]', '[6.691917181015015]', '[6.283958911895752]']"
47,meta-llama/Llama-3.2-1B 8 100 8.0,"['[11.152132034301758]', '[11.10603928565979]', '[10.262572765350342]']"
48,meta-llama/Llama-3.2-1B 8 250 16.0,"['[9.777104616165161]', '[10.03914213180542]', '[9.513985395431519]']"
49,meta-llama/Llama-3.2-1B 8 250 4.0,"['[15.985121965408325]', '[16.90217137336731]', '[15.862422704696655]']"
50,meta-llama/Llama-3.2-1B 8 250 8.0,"['[28.11546564102173]', '[27.946725130081177]', '[26.07867693901062]']"
51,meta-llama/Llama-3.2-1B 8 500 16.0,"['[20.019102573394775]', '[20.518572330474854]', '[19.405280113220215]']"
52,meta-llama/Llama-3.2-1B 8 500 4.0,"['[32.86651372909546]', '[33.96236538887024]', '[31.90793013572693]']"
53,meta-llama/Llama-3.2-1B 8 500 8.0,"['[55.101051568984985]', '[55.2667555809021]', '[53.443816900253296]']"
54,meta-llama/Llama-3.2-3B 1 100 16.0,"['[5.924708127975464, 5.883395433425903, 5.82551646232605, 5.861762046813965, 5.84009313583374, 5.855579376220703, 5.846092939376831, 5.887785911560059]', '[6.002721786499023, 6.043771743774414, 6.016499042510986, 5.967980623245239, 6.011639833450317, 5.930732727050781, 6.011467933654785, 5.989591121673584]', '[5.79884147644043, 5.737013816833496, 5.802867412567139, 5.7204084396362305, 5.779879331588745, 5.695194721221924, 5.814959764480591, 5.7885518074035645]']"
55,meta-llama/Llama-3.2-3B 1 100 4.0,"['[7.199119567871094, 7.240499973297119, 7.2129340171813965, 7.369306564331055, 7.2844016551971436, 7.300769090652466, 7.328697919845581, 7.273926496505737]', '[7.4169602394104, 7.535496950149536, 7.486523389816284, 7.521435022354126, 7.553266286849976, 7.461365699768066, 7.495378017425537, 7.499648809432983]', '[7.112699031829834, 7.0999674797058105, 1.6937286853790283, 7.123217821121216, 7.243589162826538, 7.137623071670532, 7.177239656448364, 7.155609607696533]']"
56,meta-llama/Llama-3.2-3B 1 100 8.0,"['[16.6471426486969, 17.11577606201172, 16.801961660385132, 13.995970487594604, 16.763662338256836, 17.013707876205444, 16.91690468788147, 16.79422616958618]', '[16.949310064315796, 17.079427003860474, 17.04145574569702, 17.021900177001953, 17.01623272895813, 17.011019706726074, 16.724588871002197, 16.8911349773407]', '[16.04863476753235, 16.018537044525146, 16.36231541633606, 16.107769012451172, 0.554128885269165, 16.1924569606781, 16.023767471313477, 16.202125787734985]']"
57,meta-llama/Llama-3.2-3B 1 250 16.0,"['[14.699447631835938, 14.737097978591919, 14.65076994895935, 14.716138362884521, 11.577022552490234, 8.030770540237427, 14.755392074584961, 8.544509410858154]', '[7.8344128131866455, 15.060005187988281, 15.240580558776855, 15.05918550491333, 15.048580408096313, 14.263318300247192, 15.238611936569214, 2.8690338134765625]', '[11.075546979904175, 11.371412754058838, 7.161722183227539, 14.444437742233276, 10.890539169311523, 14.404052257537842, 11.314210176467896, 14.382820129394531]']"
58,meta-llama/Llama-3.2-3B 1 250 4.0,"['[18.31878089904785, 18.229328155517578, 18.353235721588135, 18.287440061569214, 14.259002923965454, 9.44012451171875, 18.088410139083862, 14.196913003921509]', '[13.960043907165527, 18.831384897232056, 18.846157789230347, 18.799839973449707, 1.3365697860717773, 0.48038601875305176, 14.753797769546509, 8.411752462387085]', '[17.81038737297058, 17.76529860496521, 17.689236879348755, 17.832233428955078, 17.691903591156006, 17.7733051776886, 17.62588334083557, 8.250804662704468]']"
59,meta-llama/Llama-3.2-3B 1 250 8.0,"['[36.726994037628174, 28.241705894470215, 32.949851274490356, 41.29616451263428, 42.55510497093201, 22.28696608543396, 42.51960372924805, 42.377299308776855]', '[25.96312642097473, 42.400853872299194, 17.360615491867065, 41.53927183151245, 42.2257022857666, 23.018872261047363, 33.18888568878174, 7.319416761398315]', '[30.367269039154053, 40.19331622123718, 40.56801748275757, 40.9256010055542, 40.97246861457825, 27.45308494567871, 32.004154443740845, 6.356063365936279]']"
